Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Red Flames Pizzaria,"Blue Point,Sarthana, East Surat", East Surat,Surat,"Fast Food,  Pizza,  Italian",4.5,8,900
The Summer House Eatery,"Alwarpet, Central Chennai", Central Chennai,Chennai,"Continental,  Italian,  Mexican,  Asian,  Desserts,  Coffee,  Tea",4.3,99,1400
Hotel S.R Palace & Restaurant,"Sikandra, North Agra", North Agra,Agra,"North Indian,  Chinese",5.0,1,400
2nd Wife,"Mehar Complex,Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Italian,  Oriental ",3.8,17,1100
The Patiala Kkitchen,"Dharam Palace Mall,Sector 18, Noida", Noida,Noida,"North Indian,  Chinese",4.2,327,1600
Palamuru Grill,"Attapur, South Hyderabad", South Hyderabad,Hyderabad,"Barbecue,  Andhra,  North Indian",4.1,186,1100
Oladar Village Restaurant and Cafe,"Pichola, South Udaipur", South Udaipur,Udaipur,"North Indian,  Italian,  Fast Food",4.1,20,1400
Jalsa,"Resort Rio,Arpora, North Goa", North Goa,Goa,"Gujarati,  Rajasthani",3.9,9,2800
La Benito,"Vadiwadi, Central Vadodara", Central Vadodara,Vadodara,"Italian,  Mexican,  Lebanese",5.0,3,1100
Dark Stone,"L B Nagar, East Hyderabad", East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",4.0,5,400
Gajalee,"Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Seafood,  Malvani,  North Indian",4.5,77,1500
Sky Grill,"Crystal Sarovar Premiere,Tajganj, East Agra", East Agra,Agra,"North Indian,  Continental",4.7,10,2100
Sagar Ratna,"Omaxe City Centre,Omega 1, NCR Greater Noida", NCR Greater Noida,Noida,"South Indian,  North Indian,  Chinese",4.2,14,900
Kasbah Grand,"Chandiwala Arcade,Goregaon West, North Western", North Western,Mumbai,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Asian,  Arabian,  Mughlai",4.1,401,2000
Blue Coriander,"Revival Lords Inn,Sayajiganj, Central Vadodara", Central Vadodara,Vadodara,"North Indian,  Chinese,  Continental",4.3,20,1000
Desi Street,"Anna Nagar, North Chennai", North Chennai,Chennai,"North Indian,  Chinese,  Mughlai,  Ice Cream,  Fast Food,  Drinks",4.0,130,1000
Tooka Restobar,"Hotel Sarovar Premiere,Lal Kothi, Central Jaipur", Central Jaipur,Jaipur,Multi-Cuisine,3.5,3,2000
TGIB : The Grand Indian Buffet,"Vaishali Nagar, West Jaipur", West Jaipur,Jaipur,"North Indian,  Asian,  Continental",3.9,115,1200
Chinese Pavilion,"Venkata Sai Ganapathi's Gold,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Chinese,  Seafood",4.4,165,1400
Marky Momos,"Neelkanth Palace,Prahlad Nagar, West Ahmedabad", West Ahmedabad,Ahmedabad,"Chinese,  Fast Food",4.2,24,900
Cakes N Craft,"Bhanwar Kuan, South Indore", South Indore,Indore,"Bakery and Confectionary,  Desserts",4.8,9,500
Cinnamon Kitchen,"Aditya City Centre,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Mughlai",4.2,211,1200
Wooddy Jhone's Pizza,"Helios Complex,Pal Gam, West Surat", West Surat,Surat,"Fast Food,  Pizza,  Italian",3.5,9,500
Raasta,"Cyber Hub,DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  Italian,  Chinese,  Continental,  Mediterranean",4.2,516,2000
Liquid Lounge,"Ramada Resort and Spa,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,Finger Food,4.0,2,1000
Go Native,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"Health Food,  Modern Indian,  South Indian,  Desserts",4.4,28,800
Shakti - The Sandwich Shop,"Aryan Work Spaces,Navrangpura, West Ahmedabad", West Ahmedabad,Ahmedabad,Fast Food,4.3,35,400
New York Burrito Company,"Inorbit Mall,Malad West, North Western", North Western,Mumbai,Mexican,4.3,59,600
Skai Restaurant and Lounge,"Quest Mall,Ballygunge, South Kolkata", South Kolkata,Kolkata,"European,  Asian",4.6,32,2500
The Piano Man Jazz Club,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,"European,  Asian,  Italian",4.4,323,2500
Nathu's Sweets,"Dubai Mall,Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Street Food,  Mithai,  North Indian,  Chinese,  Continental,  South Indian",3.9,48,500
Barbeque 29,"NIT, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Barbecue",4.3,169,1500
Kabhi B,"Sukh Sagar Complex,Bapunagar, East Ahmedabad", East Ahmedabad,Ahmedabad,"Desserts,  Bakery and Confectionary,  Fast Food",1.0,1,200
RocoMamas,"World Trade Center,Kharadi, East Pune", East Pune,Pune,"Burger,  Fast Food",4.3,172,1200
Paatra,"Jaypee Palace Hotel & Convention Centre,Tajganj, East Agra", East Agra,Agra,"North Indian,  Mughlai",4.3,9,3400
Free Spirit,"Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"Fast Food,  Shakes",4.1,10,800
Hooked,"Pimple Saudagar, West Pune", West Pune,Pune,"North Indian,  Seafood",3.7,23,1200
Cosmos Jaipur,"Raja Park, East Jaipur", East Jaipur,Jaipur,"Fast Food,  Italian",4.3,2,600
Satva,"Grand Uniara Hotel,Narayan Singh Circle, East Jaipur", East Jaipur,Jaipur,"North Indian,  Chinese,  South Indian",4.0,38,1400
Ninety Six,"Trident Hotel,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,Finger Food,4.4,11,2500
Pure By Slurrp,"Vesu, South Surat", South Surat,Surat,"North Indian,  Health Food",4.2,8,1000
Mamagoto,"Ambience Mall,DLF Phase - 3, Gurgaon", Gurgaon,Gurgaon,"Asian,  Chinese,  Thai,  Japanese",4.4,94,1800
Royal Hut By Royal Cafe,"Hazratganj, Central Lucknow", Central Lucknow,Lucknow,Fast Food,1.0,2,400
Roofmates,"Anna Ikon Complex,Sikandra, North Agra", North Agra,Agra,"North Indian,  Chinese",4.3,47,1000
Social,"Phoenix Marketcity,Whitefield, East Bangalore", East Bangalore,Bangalore,"Continental,  American,  North Indian,  Chinese,  Finger Food",4.2,487,1500
Inder Prakash,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese,  Continental",4.3,22,1400
Bhog,"Vastrapur, West Ahmedabad", West Ahmedabad,Ahmedabad,"North Indian,  Continental,  Fast Food",5.0,2,800
Navtara,"Margao, South Goa", South Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",3.7,37,500
Gelatissimo,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Ice Cream",4.4,113,400
Noon Mirch,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,North Indian,4.1,43,1500
Berco's,"Civil Lines, North Agra", North Agra,Agra,"Chinese,  Thai",4.3,34,1300
Morgan's Place,"Sangolda, North Goa", North Goa,Goa,"Italian,  Continental",4.2,43,900
Sadda Adda,"Aliganj, North Lucknow", North Lucknow,Lucknow,"North Indian,  Chinese",4.3,3,400
AB's - Absolute Barbecue,"Vadiwadi, Central Vadodara", Central Vadodara,Vadodara,"North Indian,  European,  Barbecue,  Seafood",4.6,241,1200
TESORO MIO KITCHEN 'N' KAFFE,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,570,1600
Rim Zim Club & Resort,"Rajendra Nagar, South Indore", South Indore,Indore,North Indian,4.4,2,1500
Lush House,"Bajaj Nagar, West Nagpur", West Nagpur,Nagpur,"Multi-Cuisine,  North Indian,  Chinese,  American,  Afghani",3.0,2,800
Tipsy Bull - The Bar Exchange,"Bellandur, South Bangalore", South Bangalore,Bangalore,"Chinese,  Continental",4.3,298,1100
Uphoria,"Malviya Nagar, South Jaipur", South Jaipur,Jaipur,"North Indian,  Chinese,  Italian,  Continental,  Mexican",4.2,143,1000
The Chocolate Room,"Fatehgunj, North Vadodara", North Vadodara,Vadodara,"Desserts,  Shakes,  Italian,  Mexican,  Ice Cream",4.0,103,700
Woo Bar,"W Goa,Vagator, North Goa", North Goa,Goa,"Continental,  Finger Food",4.5,4,3100
Upsouth,"4D Square Mall,Motera, North Ahmedabad", North Ahmedabad,Ahmedabad,South Indian,3.5,6,500
Khan Saheb Grills and Rolls,"Commercial Street, Central Bangalore", Central Bangalore,Bangalore,"North Indian,  Fast Food",4.0,2,600
Navtara,"Calangute, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",4.2,62,500
Indian Grill Room,"Suncity Business Tower,Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",4.4,416,2200
The Flying Dutchman,"Indirapuram Habitat Centre,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"Modern Indian,  North Indian,  Italian,  Chinese,  Continental",4.1,402,1900
Ka Eclairs & Kafe,"Sector 18, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,83,800
Dhaba Cafe,"Metro Tower,Vijay Nagar, East Indore", East Indore,Indore,"Street Food,  Fast Food",2.7,3,500
Scola,"Inner Market,Sector 7, East Chandigarh", East Chandigarh,Chandigarh,"Multi-Cuisine,  Italian,  Continental,  Seafood,  Spanish",4.1,14,1700
Food Links,"Nandanvan, East Nagpur", East Nagpur,Nagpur,Fast Food,4.9,9,500
Duty Free Courtyard,"Gardens Galleria,Sector 38A, Noida", Noida,Noida,Finger Food,3.9,524,1500
Green Chick Chop,"Khandari, North Agra", North Agra,Agra,"North Indian,  Fast Food",5.0,3,300
Pablo,"C Scheme, Central Jaipur", Central Jaipur,Jaipur,"North Indian,  Oriental ",3.0,6,1900
Golden Treat,"Hotel Crown Palace,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Chinese,  Continental",4.7,24,1800
Bedouin - Sher E Bengal,"Rashbehari Avenue, South Kolkata", South Kolkata,Kolkata,"North Indian,  Chinese,  Bengali,  Mughlai",3.8,20,800
Chatoree,"Manjalpur, South Vadodara", South Vadodara,Vadodara,"Street Food,  Fast Food",5.0,1,400
Salsa,"The Corinthians Resort and Club Pune,Kondhwa, South Pune", South Pune,Pune,"North Indian,  Continental,  Italian,  Mexican",4.3,63,1700
Barbeque Nation,"Spaze Platinum Tower,Sector 47, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Mughlai",4.5,202,1700
Grill 9,"SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Arabian,  Chinese,  Lebanese",4.0,1,600
Flavours Of TMH,"Taj Tristar Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,99,800
Barcode,"Dwarka, West Delhi", West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese,  Mexican",4.2,575,1600
Coffee Ville,"Sohna Road, Gurgaon", Gurgaon,Gurgaon,"Coffee,  Health Food",1.0,1,400
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200
One Bottle Down,"Camac Street, Central Kolkata", Central Kolkata,Kolkata,"North Indian,  Italian,  Continental,  Finger Food",4.0,417,1500
Hungry Hackers,"Jaipuria Sunrise Plaza,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,Fast Food,5.0,1,600
Sarkar Raj Fast Food,"Vaishnodevi Complex,Piplod, South Surat", South Surat,Surat,"Chinese,  Street Food,  Fast Food",2.4,12,300
Burger 27,"Sanjay Place, Central Agra", Central Agra,Agra,Fast Food,4.5,15,800
O Goa,"Hotel Fidalgo,Panjim, North Goa", North Goa,Goa,"Seafood,  Goan",2.2,1,1500
Platterzz,"Bhopalpura, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Italian,  Thai",2.8,4,1000
Tandoori Heights,"The Legend Inn,Wardha Road, South Nagpur", South Nagpur,Nagpur,North Indian,4.5,6,1300
14 Tables,"Mirza Ismail Road, West Jaipur", West Jaipur,Jaipur,"North Indian,  Continental",4.6,15,1700
Navtara,"Mapusa, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",4.2,18,500
Grapevine,"The HQ Hotel,Vasco Da Gama, South Goa", South Goa,Goa,"North Indian,  Mughlai,  Italian",4.3,11,1100
Desi Cafe,"Jeoni Mandi, North Agra", North Agra,Agra,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.6,57,1100
Taco Bell,"LuLu Mall,Edappally, East Kochi", East Kochi,Kochi,"Mexican,  Fast Food",3.5,2,500
Sugar & Spice,"Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"Fast Food,  Shakes",2.9,7,400
The Crow Bar,"Silver Arc Mall,Gurdev Nagar, Central Ludhiana", Central Ludhiana,Ludhiana,"North Indian,  Italian,  Oriental ,  Finger Food",5.0,5,1500
G Dada,"Adajan Gam, West Surat", West Surat,Surat,"North Indian,  Gujarati",1.0,2,500
Raj Rasoi,"Sanjay Place, Central Agra", Central Agra,Agra,"North Indian,  Chinese,  Fast Food",4.3,23,1200
54 Praangan,"Indore Marriott Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Awadhi,  Mughlai",4.4,105,3300
Highway Rasoi,"Kharar road, Mohali", Mohali,Chandigarh,"North Indian,  Chinese,  South Indian",4.3,26,600
Mocambo,"Park Street, Central Kolkata", Central Kolkata,Kolkata,"Italian,  Continental,  North Indian",4.3,130,1000
Moti Mahal Delux,"Naveen Park,Rajendra Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",5.0,7,900
Barbeque Bay,"Club Mahindra Emerald Palms,Benaulim, South Goa", South Goa,Goa,"North Indian,  Barbecue",4.3,3,2500
Rolls Mania,"VIP Road, Zirakpur", Zirakpur,Chandigarh,Fast Food,4.8,6,300
Gypsy Grand,"Makarpura, South Vadodara", South Vadodara,Vadodara,"North Indian,  Chinese,  Italian,  South Indian",3.6,33,700
Lancer Cocktail Lounge,"Hotel Crown Palace,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Continental,  Oriental ",3.7,3,2000
Hotel Saravana Bhavan,"Vadapalani, West Chennai", West Chennai,Chennai,"South Indian,  North Indian,  Chinese",3.5,13,600
Tap House Brewpub and Kitchen,"Good Earth City Centre Mall,Sector 50, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese",4.0,109,1900
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000
3B's,"Country Inn and Suites By Radisson-Sahibabad,Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Oriental ",4.3,132,2800
Uttar Dakshin Veg Treat,"Vasant Vihar, Thane", Thane,Mumbai,"North Indian,  Chinese,  South Indian,  Shakes",4.1,5,900
Amiguerio,"Betalbatim, South Goa", South Goa,Goa,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Goan",4.0,11,1000
The Shalimar Xpress,"Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.0,1,800
Courtyard,"Crescent Spa And Resort,Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese",4.6,34,2100
Waffle Stories,"Orion Mall,Rajajinagar, West Bangalore", West Bangalore,Bangalore,"Desserts,  Ice Cream,  Waffle,  Fast Food,  Drinks",3.9,6,400
Guftagu Cafe,"DLF Phase - 2, Gurgaon", Gurgaon,Gurgaon,"Italian,  Fast Food,  Continental",4.1,137,700
Chai Kaapi,"Khajrana, East Indore", East Indore,Indore,"Fast Food,  Tea",2.9,7,400
"Acacia - Biryani, Kebabs, Wraps & Curries","Gomti Nagar, East Lucknow", East Lucknow,Lucknow,"North Indian,  Fast Food",5.0,1,500
Jamie's Pizzeria By Jamie Oliver,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Italian,  Pizza",4.2,40,2000
The Pancake Story,"Akota, Central Vadodara", Central Vadodara,Vadodara,"Desserts,  Waffle",4.3,7,400
Gelateria Montecatini Terme,"Lavelle Road, Central Bangalore", Central Bangalore,Bangalore,"Desserts,  Ice Cream",4.0,1,300
Cafe Boho,"Chand Pole, South Udaipur", South Udaipur,Udaipur,"North Indian,  Fast Food",4.3,3,700
Chowman,"Garia, South Kolkata", South Kolkata,Kolkata,"Asian,  Chinese,  Thai,  Seafood,  Oriental ",4.3,68,900
Wonders Of World,"Vayu Sena, West Nagpur", West Nagpur,Nagpur,"North Indian,  Chinese,  Continental",3.7,36,900
Belfrance Bakers And Chocolatiers,"Kipps Market,Sarabha Nagar, West Ludhiana", West Ludhiana,Ludhiana,"Italian,  Continental,  Desserts,  Fast Food",4.4,14,1000
Apsara Ice Creams,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Ice Cream,  Desserts",4.3,33,300
Kabhi B,"Subhanpura, Central Vadodara", Central Vadodara,Vadodara,"Desserts,  Bakery and Confectionary",3.2,3,600
Hungry Point,"PAU, Central Ludhiana", Central Ludhiana,Ludhiana,"Fast Food,  Pizza,  Italian",1.0,1,500
Wooddy Jhone’s Pizza,"New Sama, North Vadodara", North Vadodara,Vadodara,"Pizza,  Italian",3.6,15,500
Pizzatarian,"Aliganj, North Lucknow", North Lucknow,Lucknow,"Italian,  Pizza",4.7,4,500
21 shots -  The MRP Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian",4.1,354,2000
Gola Sizzlers,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Sizzlers,  North Indian,  Chinese",4.0,1,1100
7 Square Restaurant,"Amraiwadi, South Ahmedabad", South Ahmedabad,Ahmedabad,"North Indian,  Chinese",5.0,1,800
Terminal 7,"Sector 7, East Chandigarh", East Chandigarh,Chandigarh,"North Indian,  Chinese,  Continental,  Mexican,  American",3.9,52,1400
The Corner Art Cafe,"Kipps Market,Sarabha Nagar, West Ludhiana", West Ludhiana,Ludhiana,"Italian,  Continental,  Fast Food",4.2,11,800
Guru Nanak Sweets,"Sector 21, Central Chandigarh", Central Chandigarh,Chandigarh,"Mithai,  Continental,  Fast Food",4.2,19,300
Icy Fusion,"Salt Lake, East Kolkata", East Kolkata,Kolkata,"Ice Cream,  Desserts",4.5,41,300
AMPM Café and Bar,"DLF Galleria Market,DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  European,  American,  Oriental ,  Tex Mex",4.2,694,1700
Rooftop – The View,"Radisson Blu Towers,Kaushambi, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Continental",4.2,143,2800
Spice Villa,"Piplod, South Surat", South Surat,Surat,"North Indian,  Oriental ,  Mughlai",4.3,177,1500
360°,"C Scheme, Central Jaipur", Central Jaipur,Jaipur,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.0,160,2200
Babel Restro & Lounge,"Indira Nagar, Central Lucknow", Central Lucknow,Lucknow,"North Indian,  Chinese",2.8,10,900
LIT Ultrabar,"Sector 18, Noida", Noida,Noida,"Finger Food,  North Indian,  Chinese,  Continental,  American",3.9,31,1500
Sankalp,"New Sama, North Vadodara", North Vadodara,Vadodara,South Indian,4.4,21,700
Wow! Momo,"Howrah, Howrah", Howrah,Kolkata,"Fast Food,  Tibetan",3.5,38,400
Soul by Sun and Moon,"Haridas Ji Ki Magri, South Udaipur", South Udaipur,Udaipur,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mughlai",4.0,59,800
Caldo's Pizza & Cafe,"Sector 35, West Chandigarh", West Chandigarh,Chandigarh,"Pizza,  Fast Food",4.4,46,600
Desi Tadka Restaurant,"Lohamandi, West Agra", West Agra,Agra,"North Indian,  Chinese,  Continental,  South Indian",5.0,1,500
Mr Pizza G,"Katargam, North Surat", North Surat,Surat,"Fast Food,  Pizza,  Italian",4.1,9,500
The Sultan's,"Rau, South Indore", South Indore,Indore,"North Indian,  Chinese,  Mughlai",3.3,44,1000
Kabhi B,"Akota, Central Vadodara", Central Vadodara,Vadodara,"Desserts,  Bakery and Confectionary",5.0,2,600
Nawab Asia,"Balewadi High Street,Baner, West Pune", West Pune,Pune,"North Indian,  Chinese,  Mughlai",4.4,279,1200
Golden Dragon,"Taj Krishna Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,Chinese,4.1,34,3500
Maratha Samrat,"Camp, East Pune", East Pune,Pune,"Seafood,  Maharashtrian",4.5,52,1000
Hera Feri Fries,"BRS Nagar, West Ludhiana", West Ludhiana,Ludhiana,Fast Food,4.4,2,400
Sree Spicy Hub,"Jeevan Bhima Nagar, East Bangalore", East Bangalore,Bangalore,"North Indian,  Chinese,  Andhra",1.0,2,500
Stoned Monkey,"Banashankari, South Bangalore", South Bangalore,Bangalore,"Desserts,  Ice Cream",3.6,5,400
Hotel Darshan Towers - Amantran Restaurant,"Gandhibagh, East Nagpur", East Nagpur,Nagpur,"North Indian,  Chinese,  Mughlai",3.8,8,1800
Love Fine Dining,"The Park,Calangute, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  Italian,  Seafood,  Goan",4.3,15,1800
Tabla,"Nagole, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Andhra,  Biryani",3.9,175,1200
Kylin Experience,"Gurdev Nagar, Central Ludhiana", Central Ludhiana,Ludhiana,"Asian,  Oriental ,  Chinese",4.3,26,1600
PizzaExpress,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Italian,  European",4.4,583,1400
Terra,"Sector 5, Panchkula", Panchkula,Chandigarh,"North Indian,  Italian,  Chinese,  European",4.4,45,1200
Flava,"The Roa Hotel,Ghatkopar West, Central Suburbs", Central Suburbs,Mumbai,"North Indian,  Chinese,  Continental",3.9,9,1500
The Square,"Novotel Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Asian",4.2,52,2500
The Silver Dining,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese",4.6,5,800
Kafe B2,"Aagam Arcade,Vesu, South Surat", South Surat,Surat,Fast Food,4.3,9,400
Dindigul Thalappakatti,"Park Town, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.8,4,700
